OpenMP: enabled, max_threads=16

=== Single-statevector per-op throughput (CPU) ===
k    op              dim          ns/op        Gamp/s    
18   CNOT            262144       4722.1       27.757    
18   U2              262144       2867.0       91.434    
18   U4              262144       8075.0       32.463    
18   EXPAND          262144       3129.1       167.554   
18   EXPAND_T        262144       2778.0       188.726   
18   MEAS_DIAG       262144       5832.0       89.899    
18   MEAS_INTERFERE  262144       5989.6       87.533    
19   H               524288       4181.0       125.399   
19   T               524288       2939.1       89.193    
19   CZ              524288       3600.7       36.402    
19   CNOT            524288       8413.9       31.156    
19   U2              524288       4126.9       127.042   
19   U4              524288       14399.3      36.411    
19   EXPAND          524288       4641.7       225.904   
19   EXPAND_T        524288       4082.1       256.872   
19   MEAS_DIAG       524288       7300.6       143.628   
19   MEAS_INTERFERE  524288       7347.2       142.717   
20   H               1048576      7634.4       137.349   
20   T               1048576      4580.1       114.471   
20   CZ              1048576      7960.5       32.931    
20   CNOT            1048576      14525.6      36.094    
20   U2              1048576      7448.6       140.774   
20   U4              1048576      26957.1      38.898    
20   EXPAND          1048576      7560.3       277.390   
20   EXPAND_T        1048576      6538.4       320.744   
20   MEAS_DIAG       1048576      10790.3      194.355   
20   MEAS_INTERFERE  1048576      10582.5      198.172   
21   H               2097152      13575.9      154.476   
21   T               2097152      7309.1       143.462   
21   CZ              2097152      13870.7      37.798    
21   CNOT            2097152      26761.6      39.182    
21   U2              2097152      13369.3      156.863   
21   U4              2097152      49875.4      42.048    
21   EXPAND          2097152      18484.1      226.914   
21   EXPAND_T        2097152      18454.7      227.276   
21   MEAS_DIAG       2097152      17873.1      234.671   
21   MEAS_INTERFERE  2097152      17890.2      234.447   
22   H               4194304      35227.3      119.064   
22   T               4194304      14315.6      146.494   
22   CZ              4194304      33595.1      31.212    
22   CNOT            4194304      54635.0      38.385    
22   U2              4194304      35260.5      118.952   
22   U4              4194304      98068.5      42.769    
22   EXPAND          4194304      34374.2      244.038   
22   EXPAND_T        4194304      34335.8      244.311   
22   MEAS_DIAG       4194304      39741.0      211.082   
22   MEAS_INTERFERE  4194304      45542.3      184.194   
23   H               8388608      66785.2      125.606   
23   T               8388608      36594.4      114.616   
23   CZ              8388608      62992.7      33.292    
23   CNOT            8388608      102721.9     40.832    
23   U2              8388608      66783.9      125.608   
23   U4              8388608      189387.4     44.293    
23   EXPAND          8388608      65547.1      255.957   
23   EXPAND_T        8388608      65528.5      256.029   
23   MEAS_DIAG       8388608      72599.7      231.092   
23   MEAS_INTERFERE  8388608      85830.4      195.469   
24   H               16777216     129747.5     129.307   
24   T               16777216     66998.9      125.205   
24   CZ              16777216     122792.9     34.158    
24   CNOT            16777216     199240.9     42.103    
24   U2              16777216     129633.1     129.421   
24   U4              16777216     373676.5     44.898    
24   EXPAND          16777216     128028.8     262.085   
24   EXPAND_T        16777216     127964.1     262.217   
24   MEAS_DIAG       16777216     133722.0     250.927   
24   MEAS_INTERFERE  16777216     161469.1     207.807   
25   H               33554432     255866.3     131.141   
25   T               33554432     129407.4     129.647   
25   CZ              33554432     245518.7     34.167    
25   CNOT            33554432     391529.7     42.850    
25   U2              33554432     255938.7     131.103   
25   U4              33554432     743793.5     45.113    
25   EXPAND          33554432     252098.5     266.201   
25   EXPAND_T        33554432     252016.2     266.288   
25   MEAS_DIAG       33554432     254364.5     263.830   
25   MEAS_INTERFERE  33554432     311373.0     215.526   
26   H               67108864     509122.5     131.813   
26   T               67108864     265444.2     126.409   
26   CZ              67108864     496020.5     33.824    
26   CNOT            67108864     776295.5     43.224    
26   U2              67108864     509073.5     131.825   
26   U4              67108864     1487473.0    45.116    
26   EXPAND          67108864     501028.0     267.885   
26   EXPAND_T        67108864     500973.0     267.914   
26   MEAS_DIAG       67108864     497721.0     269.665   
26   MEAS_INTERFERE  67108864     613175.0     218.890   
27   H               134217728    1015672.0    132.147   
27   T               134217728    528240.0     127.042   
27   CZ              134217728    995689.0     33.700    
27   CNOT            134217728    1546379.0    43.397    
27   U2              134217728    1015614.0    132.154   
27   U4              134217728    2979592.1    45.046    
27   EXPAND          134217728    1001922.0    267.921   
27   EXPAND_T        134217728    1001652.0    267.993   
27   MEAS_DIAG       134217728    984772.0     272.586   
27   MEAS_INTERFERE  134217728    1217057.9    220.561   
28   H               268435456    2030911.9    132.175   
28   T               268435456    1045923.0    128.325   
28   CZ              268435456    1995248.0    33.634    
28   CNOT            268435456    3086600.1    43.484    
28   U2              268435456    2029912.0    132.240   
28   U4              268435456    5956416.1    45.067    
28   EXPAND          268435456    2003475.9    267.970   
28   EXPAND_T        268435456    2003050.1    268.027   
28   MEAS_DIAG       268435456    1953918.0    274.766   
28   MEAS_INTERFERE  268435456    2423856.0    221.495   
29   H               536870912    4061820.0    132.175   
29   T               536870912    2089953.9    128.441   
29   CZ              536870912    4002180.1    33.536    
29   CNOT            536870912    6168196.2    43.519    
29   U2              536870912    4061996.0    132.169   
29   U4              536870912    11903623.6   45.101    
29   EXPAND          536870912    4009808.1    267.779   
29   EXPAND_T        536870912    4010808.0    267.712   
29   MEAS_DIAG       536870912    3908756.0    274.702   
29   MEAS_INTERFERE  536870912    4843567.8    221.684   
30   H               1073741824   8114447.6    132.325   
30   T               1073741824   4170064.0    128.744   
30   CZ              1073741824   7986911.8    33.609    
30   CNOT            1073741824   12331944.5   43.535    
30   U2              1073741824   8112855.9    132.351   
30   U4              1073741824   23800352.1   45.115    
30   EXPAND          1073741824   8007247.9    268.192   
30   EXPAND_T        1073741824   8004391.7    268.288   
30   MEAS_DIAG       1073741824   7813576.2    274.840   
30   MEAS_INTERFERE  1073741824   9687064.2    221.686   

=== Batched-across-shots throughput (GPU, FP64) ===
k    B        shots/s        Mshot-lyr/s 
12   256      235114.3       0.940       
12   1024     239562.2       0.958       
12   4096     248413.5       0.994       
12   16384    254728.0       1.019       
12   65536    255611.0       1.022       
16   256      12332.3        0.049       
16   1024     12657.7        0.051       
16   4096     12715.0        0.051       
18   256      2868.8         0.011       
18   1024     2883.9         0.012       
20   256      660.1          0.003       

=== Batched shots WITH completed measurement per layer (GPU) ===
k    B        shots/s        us/meas-round 
12   256      204004.2       47.75         
12   1024     225001.9       81.90         
12   4096     236365.5       223.82        
12   16384    243750.6       742.41        
12   65536    244968.2       2835.65       
16   256      11854.0        222.08        
16   1024     12245.9        684.53        
16   4096     12319.4        2583.68       
18   256      2778.7         745.79        
18   1024     2802.0         2592.91       
20   256      641.4          2853.00       

=== Batched shots, measurement sampled on device (GPU) ===
k    B        shots/s        us/meas-round 
12   256      222472.9       22.27         
12   1024     229417.2       54.65         
12   4096     238055.5       185.49        
12   16384    244687.4       674.60        
12   65536    245526.9       2626.91       
16   256      11894.1        197.31        
16   1024     12258.1        657.19        
16   4096     12327.1        2543.70       
18   256      2779.9         722.39        
18   1024     2802.9         2560.63       
20   256      641.6          2811.92       

=== MIMD per-shot interpreter (GPU, one block/shot) ===
k    B        shots/s        variant 
12   256      1335998.4      shared  
12   1024     1463676.8      shared  
12   4096     1529111.9      shared  
12   16384    1582498.7      shared  
12   65536    1598767.6      shared  
16   256      10895.0        global  
16   1024     12022.3        global  
16   4096     12064.5        global  
18   256      2472.1         global  
18   1024     2712.1         global  
20   256      566.2          global  

=== Batched shots, REAL op mix, on-device sampling (GPU) ===
k    B        shots/s        us/meas-round 
12   256      598998.5       23.50         
12   1024     755119.9       67.30         
12   4096     842813.8       238.71        
12   16384    891338.0       886.55        
12   65536    900943.5       3470.56       
16   256      52167.5        256.23        
16   1024     55591.4        888.18        
16   4096     56142.5        3477.70       
18   256      13711.7        956.61        
18   1024     14044.0        3485.23       
20   256      3490.4         3699.90       

=== MIMD per-shot interpreter, REAL op mix (GPU) ===
k    B        shots/s        variant 
12   256      3279318.5      shared  
12   1024     3682989.6      shared  
12   4096     4237665.1      shared  
12   16384    4573998.9      shared  
12   65536    4660343.1      shared  
16   256      54542.5        global  
16   1024     60722.9        global  
16   4096     61580.9        global  
18   256      13753.6        global  
18   1024     15213.2        global  
20   256      3461.1         global  
