# tag,k,op_or_B,dim_or_shots_or_bytes,metric1,metric2
measrounddev,12,256,256,22.271,0.087
batcheddevgpu,12,1024,1024,229417.2,54.651
measrounddev,12,1024,1024,54.651,0.053
batcheddevgpu,12,4096,4096,238055.5,185.488
measrounddev,12,4096,4096,185.488,0.045
batcheddevgpu,12,16384,16384,244687.4,674.597
measrounddev,12,16384,16384,674.597,0.041
batcheddevgpu,12,65536,65536,245526.9,2626.914
measrounddev,12,65536,65536,2626.914,0.040
batcheddevgpu,16,256,256,11894.1,197.306
measrounddev,16,256,256,197.306,0.771
batcheddevgpu,16,1024,1024,12258.1,657.190
measrounddev,16,1024,1024,657.190,0.642
batcheddevgpu,16,4096,4096,12327.1,2543.697
measrounddev,16,4096,4096,2543.697,0.621
batcheddevgpu,18,256,256,2779.9,722.386
measrounddev,18,256,256,722.386,2.822
batcheddevgpu,18,1024,1024,2802.9,2560.628
measrounddev,18,1024,1024,2560.628,2.501
batcheddevgpu,20,256,256,641.6,2811.918
measrounddev,20,256,256,2811.918,10.984
mimdgpu,12,256,256,1335998.4,1
mimdgpu,12,1024,1024,1463676.8,1
mimdgpu,12,4096,4096,1529111.9,1
mimdgpu,12,16384,16384,1582498.7,1
mimdgpu,12,65536,65536,1598767.6,1
mimdgpu,16,256,256,10895.0,0
mimdgpu,16,1024,1024,12022.3,0
mimdgpu,16,4096,4096,12064.5,0
mimdgpu,18,256,256,2472.1,0
mimdgpu,18,1024,1024,2712.1,0
mimdgpu,20,256,256,566.2,0
batchedrealgpu,12,256,256,598998.5,23.504
measroundreal,12,256,256,23.504,0.092
batchedrealgpu,12,1024,1024,755119.9,67.300
measroundreal,12,1024,1024,67.300,0.066
batchedrealgpu,12,4096,4096,842813.8,238.708
measroundreal,12,4096,4096,238.708,0.058
batchedrealgpu,12,16384,16384,891338.0,886.552
measroundreal,12,16384,16384,886.552,0.054
batchedrealgpu,12,65536,65536,900943.5,3470.559
measroundreal,12,65536,65536,3470.559,0.053
batchedrealgpu,16,256,256,52167.5,256.234
measroundreal,16,256,256,256.234,1.001
batchedrealgpu,16,1024,1024,55591.4,888.179
measroundreal,16,1024,1024,888.179,0.867
batchedrealgpu,16,4096,4096,56142.5,3477.698
measroundreal,16,4096,4096,3477.698,0.849
batchedrealgpu,18,256,256,13711.7,956.613
measroundreal,18,256,256,956.613,3.737
batchedrealgpu,18,1024,1024,14044.0,3485.233
measroundreal,18,1024,1024,3485.233,3.404
batchedrealgpu,20,256,256,3490.4,3699.898
measroundreal,20,256,256,3699.898,14.453
mimdrealgpu,12,256,256,3279318.5,1
